2018_rank,city            ,state               ,2018_population_est,location               ,state_abbrev,latitude          ,longitude
148      ,Salem           ,Oregon              ,173442             ,44.9237°N 123.0232°W   ,OR          ,44.9237           ,-123.0232
149      ,Elk Grove       ,California          ,172886             ,38.4146°N 121.3850°W   ,CA          ,38.4146           ,-121.385
150      ,Garden Grove    ,California          ,172646             ,33.7788°N 117.9605°W   ,CA          ,33.7788           ,-117.9605
151      ,Pembroke Pines  ,Florida             ,172374             ,26.0210°N 80.3404°W    ,FL          ,26.021            ,-80.3404
152      ,Peoria          ,Arizona             ,172259             ,33.7862°N 112.3080°W   ,AZ          ,33.7862           ,-112.30799999999999
153      ,Eugene          ,Oregon              ,171245             ,44.0567°N 123.1162°W   ,OR          ,44.0567           ,-123.1162
154      ,Corona          ,California          ,168819             ,33.8620°N 117.5655°W   ,CA          ,33.861999999999995,-117.5655
155      ,Cary            ,North Carolina      ,168160             ,35.7809°N 78.8133°W    ,NC          ,35.7809           ,-78.8133
156      ,Springfield     ,Missouri            ,168122             ,37.1942°N 93.2913°W    ,MO          ,37.1942           ,-93.2913
157      ,Fort Collins    ,Colorado            ,167830             ,40.5482°N 105.0648°W   ,CO          ,40.5482           ,-105.0648
158      ,Jackson         ,Mississippi         ,164422             ,32.3158°N 90.2128°W    ,MS          ,32.3158           ,-90.2128
159      ,Alexandria      ,Virginia            ,160530             ,38.8201°N 77.0841°W    ,VA          ,38.8201           ,-77.0841
160      ,Hayward         ,California          ,159620             ,37.6287°N 122.1024°W   ,CA          ,37.6287           ,-122.1024
161      ,Lancaster       ,California          ,159053             ,34.6936°N 118.1753°W   ,CA          ,34.6936           ,-118.1753
162      ,Lakewood        ,Colorado            ,156798             ,39.6989°N 105.1176°W   ,CO          ,39.6989           ,-105.1176
163      ,Clarksville     ,Tennessee           ,156794             ,36.5664°N 87.3452°W    ,TN          ,36.5664           ,-87.3452
164      ,Palmdale        ,California          ,156667             ,34.5910°N 118.1054°W   ,CA          ,34.591            ,-118.1054
165      ,Salinas         ,California          ,156259             ,36.6902°N 121.6337°W   ,CA          ,36.6902           ,-121.6337
166      ,Springfield     ,Massachusetts       ,155032             ,42.1155°N 72.5400°W    ,MA          ,42.1155           ,-72.54
167      ,Hollywood       ,Florida             ,154823             ,26.0310°N 80.1646°W    ,FL          ,26.031            ,-80.1646
168      ,Pasadena        ,Texas               ,153219             ,29.6586°N 95.1506°W    ,TX          ,29.6586           ,-95.1506
169      ,Sunnyvale       ,California          ,153185             ,37.3858°N 122.0263°W   ,CA          ,37.3858           ,-122.0263
170      ,Macon           ,Georgia             ,153095             ,32.8088°N 83.6942°W    ,GA          ,32.8088           ,-83.6942
171      ,Kansas City     ,Kansas              ,152958             ,39.1225°N 94.7418°W    ,KS          ,39.1225           ,-94.7418
172      ,Pomona          ,California          ,152361             ,34.0585°N 117.7611°W   ,CA          ,34.0585           ,-117.7611
173      ,Escondido       ,California          ,152213             ,33.1331°N 117.0740°W   ,CA          ,33.1331           ,-117.074
174      ,Killeen         ,Texas               ,149103             ,31.0777°N 97.7320°W    ,TX          ,31.0777           ,-97.73200000000001
175      ,Naperville      ,Illinois            ,148304             ,41.7492°N 88.1620°W    ,IL          ,41.7492           ,-88.162
176      ,Joliet          ,Illinois            ,148099             ,41.5177°N 88.1488°W    ,IL          ,41.5177           ,-88.1488
177      ,Bellevue        ,Washington          ,147599             ,47.5979°N 122.1565°W   ,WA          ,47.5979           ,-122.1565
178      ,Rockford        ,Illinois            ,146526             ,42.2588°N 89.0646°W    ,IL          ,42.2588           ,-89.0646
179      ,Savannah        ,Georgia             ,145862             ,32.0025°N 81.1536°W    ,GA          ,32.0025           ,-81.1536
180      ,Paterson        ,New Jersey          ,145627             ,40.9148°N 74.1628°W    ,NJ          ,40.9148           ,-74.1628
181      ,Torrance        ,California          ,145182             ,33.8350°N 118.3414°W   ,CA          ,33.835            ,-118.3414
182      ,Bridgeport      ,Connecticut         ,144900             ,41.1874°N 73.1958°W    ,CT          ,41.1874           ,-73.1958
183      ,McAllen         ,Texas               ,143433             ,26.2322°N 98.2464°W    ,TX          ,26.2322           ,-98.2464
184      ,Mesquite        ,Texas               ,142816             ,32.7629°N 96.5888°W    ,TX          ,32.7629           ,-96.5888
185      ,Syracuse        ,New York            ,142749             ,43.0410°N 76.1436°W    ,NY          ,43.041000000000004,-76.1436
186      ,Midland         ,Texas               ,142344             ,32.0246°N 102.1135°W   ,TX          ,32.0246           ,-102.1135
187      ,Pasadena        ,California          ,141371             ,34.1606°N 118.1396°W   ,CA          ,34.1606           ,-118.1396
188      ,Murfreesboro    ,Tennessee           ,141344             ,35.8522°N 86.4160°W    ,TN          ,35.8522           ,-86.416
189      ,Miramar         ,Florida             ,140823             ,25.9770°N 80.3358°W    ,FL          ,25.976999999999997,-80.3358
190      ,Dayton          ,Ohio                ,140640             ,39.7774°N 84.1996°W    ,OH          ,39.7774           ,-84.1996
191      ,Fullerton       ,California          ,139640             ,33.8857°N 117.9280°W   ,CA          ,33.8857           ,-117.928
